Weight,Waist
154.25,85.2
173.25,83
154,87.9
184.75,86.4
184.25,100
210.25,94.4
181,90.7
176,88.5
191,82.5
198.25,88.6
186.25,83.6
216,90.9
180.5,91.6
205.25,101.8
187.75,96.4
162.75,92.8
195.75,96.4
209.25,97.5
183.75,89.6
211.75,100.5
179,95.9
200.5,98.8
140.25,76.4
148.75,80
151.25,76.3
159.25,79.7
131.5,74.6
148,88.7
133.25,73.9
160.75,83.5
182,88.7
160.25,84.5
168,79.1
218.5,100.5
247.25,115.6
191.75,113.1
202.25,100.9
196.75,98.8
203,108.1
262.75,126.2
205,104.3
217,111.2
212,104.3
125.25,76
164.25,81.5
133.5,73.7
148.5,79.5
135.75,83.4
127.5,70.4
158.25,86.7
139.25,77.9
137.25,82
152.75,79.6
136.25,77.6
198,100
181.5,99.8
201.25,104.2
202.5,105.3
179.75,98.3
216,104.8
178.75,94.7
193.25,102.4
178,99.7
205.5,105.5
183.5,100.3
151.5,83.9
154.75,86.6
155.25,78.4
156.75,84.6
167.5,91.5
146.75,82.8
160.75,82.9
125,76
143,83.3
148.25,81.8
162.5,78.8
177.75,95
161.25,95.4
171.25,98.6
163.75,95.8
150.25,89
190.25,97.8
170.75,94.9
168,99.8
167,89.7
157.75,88.1
160,90.9
176.75,86
176,86.5
177,95.6
179.75,93.2
165.25,83.1
192.5,97.5
184.25,88.8
224.5,99.2
188.75,91.6
162.5,86.7
156.5,88.2
197,94
198.5,95
173.75,92
172.75,89.2
196.75,95.5
177,98.6
165.5,87.3
200.25,102.8
203.25,101.6
194,88.7
168.5,92.3
170.75,90.6
183.25,105
178.25,95
163,89.6
175.25,92.4
158,86.6
177.25,90
179,90
191,92.4
187.5,87.5
206.5,99.2
185.25,98.1
160.25,83.3
151.5,86.1
161,84.1
167,89.9
177.5,92.1
152.25,78
192.25,93.5
165.25,87
171.75,90.1
171.25,90.3
197,99.8
157,89.4
168.25,87.2
186,101.1
166.75,86.1
187.75,98.6
168.25,88.5
212.75,106.6
176.75,93.1
173.25,93
167,91
159.75,77.1
188.15,85.3
156,81.9
208.5,99.1
206.5,100.5
143.75,76.5
223,106.8
152.25,77.6
241.75,102.9
146,72.8
156.75,88.2
200.25,100.1
171.5,83.5
205.75,105
182.5,90.8
136.5,76.6
177.25,92.4
151.25,81.2
196,95.6
184.25,92.1
140,83.4
218.75,106
217,95.1
166.25,90.4
224.75,100.4
228.25,115.9
172.75,90.8
152.25,81.9
125.75,75
177.25,90.3
176.25,90.3
226.75,108.8
145.25,79.4
151,83.2
241.25,110.3
187.25,92.7
234.75,104.5
219.25,104.6
118.5,69.4
145.75,83.6
159.25,86.8
170.5,90.4
167.5,83.7
232.75,109.3
210.5,98.9
202.25,98
185,101.2
153,80.6
244.25,113.7
193.5,94.1
224.75,105.7
162.75,85.6
180,96.6
156.25,86
168,89.7
167.25,78
170.75,89.7
178.25,89.2
150,85.7
200.5,103.1
184,89.1
223,113.9
208.75,96.3
166,93.9
195,101.3
160.5,83.9
159.75,84.4
140.5,79.4
216.25,104
168.25,89.7
194.75,97.6
172.75,87.6
219,122.1
149.25,81.1
154.5,81.5
199.25,100
154.5,88.7
153.25,91.8
230,110.4
161.75,87.6
142.25,82.8
179.75,95.3
126.5,78.2
169.5,91.1
198.5,96.7
174.5,89.4
167.75,93
147.75,86.4
182.25,96.7
175.5,88.1
161.75,94.9
157.75,93.3
168.75,95.6
191.5,98.2
219.15,113.8
155.25,82.8
189.75,100.5
127.5,79.7
224.5,118
234.25,109
227.75,113.4
199.5,106.1
155.5,84.3
215.5,107.6
134.25,83.6
201,105
186.75,111.5
190.75,101.3
207.5,108.5

